,ImageID,concept,category,mask_type,mask_path
22,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_12s.jpg,cheese,food,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/cheese/blocked_2_b4.png
23,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_12s.jpg,cheese,food,no_mask,no_mask
24,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_03s.jpg,cheese,food,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/tree/tree_06s.jpg
25,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_03s.jpg,cheese,food,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/corkscrew/corkscrew_03s_p0.5.png
26,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_03s.jpg,cheese,food,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_18_d300.png
27,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_03s.jpg,cheese,food,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_17_d300.png
28,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_03s.jpg,cheese,food,6_blocked,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/6_blocked/cheese/blocked_9_b4.png
29,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_03s.jpg,cheese,food,no_mask,no_mask
30,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,1_natural,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/car/car_09s.jpg
31,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,2_scrambled,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/2_scrambled/sword/sword_02s_p0.5.png
32,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,4_geometric,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/4_geometric/geometric_9_d300.png
33,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/1_natural/cheese/cheese_15s.jpg,cheese,food,5_lines,/Users/onderzoekl210/Desktop/Anne/masking-project/stimuli/experiment/masks/5_lines/lines_16_d300.png
